domain,number,type,category,id,path
furniture,1,contrast,office_chair,NA,furniture/basic-chair/contrast-office_chair/1contrast-office_chair.jpg
furniture,3,contrast,office_chair,NA,furniture/basic-chair/contrast-office_chair/3contrast-office_chair.jpg
furniture,NA,contrast,office_chair,1,furniture/basic-chair/contrast-office_chair/contrast-office_chair-1.jpg
furniture,NA,contrast,office_chair,2,furniture/basic-chair/contrast-office_chair/contrast-office_chair-2.jpg
furniture,1,sub,wooden_chair,NA,furniture/basic-chair/sub-wooden-chair/1sub-wooden_chair.jpg
furniture,3,sub,wooden_chair,NA,furniture/basic-chair/sub-wooden-chair/3sub-wooden_chair.jpg
furniture,NA,sub,wooden_chair,1,furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-1.jpg
furniture,NA,sub,wooden_chair,2,furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-2.jpg
furniture,NA,sup,furniture,1,furniture/sup-furniture-1.jpg
furniture,NA,sup,furniture,2,furniture/sup-furniture-2.jpg
furniture,NA,sup,furniture,3,furniture/sup-furniture-3.jpg
furniture,NA,sup,furniture,4,furniture/sup-furniture-4.jpg
furniture,NA,sup,furniture,5,furniture/sup-furniture-5.jpg
light,3,basic,lamp,NA,light/lamp/3basic-lamp.jpg
light,NA,basic,lamp,1,light/lamp/basic-lamp-1.jpg
light,NA,basic,lamp,2,light/lamp/basic-lamp-2.jpg
light,NA,basic,lamp,3,light/lamp/basic-lamp-3.jpg
light,1,contrast,desk_lamp,NA,light/lamp/contrast-desk_lamp/1contrast-desk_lamp.jpg
light,3,contrast,desk_lamp,NA,light/lamp/contrast-desk_lamp/3contrast-desk_lamp.jpg
light,NA,contrast,desk_lamp,1,light/lamp/contrast-desk_lamp/contrast-desk_lamp-1.jpg
light,NA,contrast,desk_lamp,2,light/lamp/contrast-desk_lamp/contrast-desk_lamp-2.jpg
light,1,sub,gooseneck_lamp,NA,light/lamp/sub-gooseneck_lamp/1sub-gooseneck_lamp.jpg
light,3,sub,gooseneck_lamp,NA,light/lamp/sub-gooseneck_lamp/3sub-gooseneck_lamp.jpg
light,NA,sub,gooseneck_lamp,1,light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-1.jpg
light,NA,sub,gooseneck_lamp,2,light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-2.jpg
light,NA,sup,light,1,light/sup-light-1.jpg
light,NA,sup,light,2,light/sup-light-2.jpg
light,NA,sup,light,3,light/sup-light-3.jpg
light,NA,sup,light,4,light/sup-light-4.jpg
light,NA,sup,light,5,light/sup-light-5.jpg
planet,NA,sup,planet,1,planet/sup-planet-1.jpg
planet,NA,sup,planet,2,planet/sup-planet-2.jpg
planet,NA,sup,planet,3,planet/sup-planet-3.jpg
planet,NA,sup,planet,4,planet/sup-planet-4.jpg
planet,NA,sup,planet,5,planet/sup-planet-5.jpg
vegetable,3,basic,pepper,NA,vegetable/basic-pepper/3basic-pepper.jpg
vegetable,NA,basic,pepper,1,vegetable/basic-pepper/basic-pepper-1.jpg
vegetable,NA,basic,pepper,2,vegetable/basic-pepper/basic-pepper-2.jpg
vegetable,NA,basic,pepper,3,vegetable/basic-pepper/basic-pepper-3.jpg
vegetable,1,contrast,red_pepper,NA,vegetable/basic-pepper/contrast-red_pepper/1contrast-red_pepper.jpg
vegetable,3,contrast,red_pepper,NA,vegetable/basic-pepper/contrast-red_pepper/3contrast-red_pepper.jpg
vegetable,NA,contrast,red_pepper,1,vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-1.jpg
vegetable,NA,contrast,red_pepper,2,vegetable/basic-pepper/contrast-red_pepper/contrast-red_pepper-2.jpg
vegetable,1,sub,green_pepper,NA,vegetable/basic-pepper/sub-green_pepper/1sub-green_pepper.jpg
vegetable,3,sub,green_pepper,NA,vegetable/basic-pepper/sub-green_pepper/3sub-green_pepper.jpg
vegetable,NA,sub,green_pepper,1,vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-1.jpg
vegetable,NA,sub,green_pepper,2,vegetable/basic-pepper/sub-green_pepper/sub-green_pepper-2.jpg
vegetable,NA,sup,vegetable,1,vegetable/sup-vegetable-1.jpg
vegetable,NA,sup,vegetable,2,vegetable/sup-vegetable-2.jpg
vegetable,NA,sup,vegetable,3,vegetable/sup-vegetable-3.jpg
vegetable,NA,sup,vegetable,4,vegetable/sup-vegetable-4.jpg
vegetable,NA,sup,vegetable,5,vegetable/sup-vegetable-5.jpg
vehicle,3,basic,car,NA,vehicle/basic-car/3basic-car.jpg
vehicle,NA,basic,car,1,vehicle/basic-car/basic-car-1.jpg
vehicle,NA,basic,car,2,vehicle/basic-car/basic-car-2.jpg
vehicle,NA,basic,car,3,vehicle/basic-car/basic-car-3.jpg
vehicle,1,contrast,van,NA,vehicle/basic-car/contrast-van/1contrast-van.jpg
vehicle,3,contrast,van,NA,vehicle/basic-car/contrast-van/3contrast-van.jpg
vehicle,NA,contrast,van,1,vehicle/basic-car/contrast-van/contrast-van-1.jpg
vehicle,NA,contrast,van,2,vehicle/basic-car/contrast-van/contrast-van-2.jpg
vehicle,1,sub,racecar,NA,vehicle/basic-car/sub-racecar/1sub-racecar.jpg
vehicle,3,sub,racecar,NA,vehicle/basic-car/sub-racecar/3sub-racecar.jpg
vehicle,NA,sub,racecar,1,vehicle/basic-car/sub-racecar/sub-racecar-1.jpg
vehicle,NA,sub,racecar,2,vehicle/basic-car/sub-racecar/sub-racecar-2.jpg
vehicle,NA,sup,vehicle,1,vehicle/sup-vehicle-1.jpg
vehicle,NA,sup,vehicle,2,vehicle/sup-vehicle-2.jpg
vehicle,NA,sup,vehicle,3,vehicle/sup-vehicle-3.jpg
vehicle,NA,sup,vehicle,4,vehicle/sup-vehicle-4.jpg
vehicle,NA,sup,vehicle,5,vehicle/sup-vehicle-5.jpg
