participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen
7a4a69c7de10e01f2553b14568bcfdd9,A,single,electronics,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
7a4a69c7de10e01f2553b14568bcfdd9,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
7a4a69c7de10e01f2553b14568bcfdd9,A,single,furniture,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
7a4a69c7de10e01f2553b14568bcfdd9,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
7a4a69c7de10e01f2553b14568bcfdd9,A,single,vegetable,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
7a4a69c7de10e01f2553b14568bcfdd9,A,contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
3d2a5ad1bdad0baf052031ad096a77a8,B,contrast,animal,0.3333333333333333,1,0,0,0,FALSE,FALSE,FALSE,FALSE
3d2a5ad1bdad0baf052031ad096a77a8,B,single,beast,1,NA,1,0.2,0,FALSE,FALSE,TRUE,TRUE
3d2a5ad1bdad0baf052031ad096a77a8,B,contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
3d2a5ad1bdad0baf052031ad096a77a8,B,single,fruit,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
3d2a5ad1bdad0baf052031ad096a77a8,B,contrast,furniture,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE
3d2a5ad1bdad0baf052031ad096a77a8,B,single,light,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
3d2a5ad1bdad0baf052031ad096a77a8,B,contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
3d2a5ad1bdad0baf052031ad096a77a8,B,single,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
0eb0033fb8cfb99676422eda4fb283ce,C,single,animal,1,NA,1,0.2,0,FALSE,FALSE,TRUE,TRUE
0eb0033fb8cfb99676422eda4fb283ce,C,single,beast,1,NA,1,0.2,0,FALSE,FALSE,TRUE,TRUE
0eb0033fb8cfb99676422eda4fb283ce,C,contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
0eb0033fb8cfb99676422eda4fb283ce,C,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
0eb0033fb8cfb99676422eda4fb283ce,C,single,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
0eb0033fb8cfb99676422eda4fb283ce,C,single,light,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
0eb0033fb8cfb99676422eda4fb283ce,C,contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
0eb0033fb8cfb99676422eda4fb283ce,C,contrast,vehicle,0.6666666666666666,0,1,0,0,FALSE,FALSE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,contrast,animal,0,0,0.5,0,0,FALSE,FALSE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,contrast,beast,0,0,0.5,0,0,FALSE,FALSE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,single,electronics,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,single,fruit,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,single,vegetable,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
9e1529ca3a0de676ed4051ee0d6193c4,D,single,vehicle,0,NA,0.5,0,0,FALSE,FALSE,FALSE,FALSE
a384c99e731f88ae0213bf7ce69ffbf3,A,single,animal,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
a384c99e731f88ae0213bf7ce69ffbf3,A,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a384c99e731f88ae0213bf7ce69ffbf3,A,single,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
a384c99e731f88ae0213bf7ce69ffbf3,A,contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
a384c99e731f88ae0213bf7ce69ffbf3,A,single,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
a384c99e731f88ae0213bf7ce69ffbf3,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
