participant,group,condition,number,target,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding,fill
267c806dfc108301d993ab8f31003e04,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
267c806dfc108301d993ab8f31003e04,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
267c806dfc108301d993ab8f31003e04,D,one-second,one,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
267c806dfc108301d993ab8f31003e04,D,three-second,three,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
267c806dfc108301d993ab8f31003e04,D,one-first,one,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
267c806dfc108301d993ab8f31003e04,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
267c806dfc108301d993ab8f31003e04,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
a1dc5480f928924826fc0cb5d5cc5cce,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
a1dc5480f928924826fc0cb5d5cc5cce,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
a1dc5480f928924826fc0cb5d5cc5cce,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
a1dc5480f928924826fc0cb5d5cc5cce,B,three-second,three,second,fruit,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
a1dc5480f928924826fc0cb5d5cc5cce,B,one-second,one,second,furniture,0,0,0.5,0,0,Uncodeable,grey
a1dc5480f928924826fc0cb5d5cc5cce,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
a1dc5480f928924826fc0cb5d5cc5cce,B,one-first,one,first,vegetable,1,1,0.5,0,0,Uncodeable,grey
a1dc5480f928924826fc0cb5d5cc5cce,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
f7d54be74791255bdfb46c4306bfa757,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
f7d54be74791255bdfb46c4306bfa757,A,three-second,three,second,beast,0.3333333333333333,0,1,0,0,broad subordinate,#CC4D06FF
f7d54be74791255bdfb46c4306bfa757,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
f7d54be74791255bdfb46c4306bfa757,A,three-first,three,first,fruit,0.3333333333333333,0,1,0,0,broad subordinate,#CC4D06FF
f7d54be74791255bdfb46c4306bfa757,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
f7d54be74791255bdfb46c4306bfa757,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
f7d54be74791255bdfb46c4306bfa757,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
f7d54be74791255bdfb46c4306bfa757,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
33101c06b138a9bb0bd4e9d9664d462c,C,three-first,three,first,animal,1,1,1,0,0,basic,#44889CFF
33101c06b138a9bb0bd4e9d9664d462c,C,one-second,one,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
33101c06b138a9bb0bd4e9d9664d462c,C,three-second,three,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
33101c06b138a9bb0bd4e9d9664d462c,C,one-first,one,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
33101c06b138a9bb0bd4e9d9664d462c,C,three-first,three,first,furniture,1,0,1,0,0,broad subordinate,#CC4D06FF
33101c06b138a9bb0bd4e9d9664d462c,C,one-second,one,second,light,0.3333333333333333,0,1,0,0,broad subordinate,#CC4D06FF
33101c06b138a9bb0bd4e9d9664d462c,C,three-second,three,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
33101c06b138a9bb0bd4e9d9664d462c,C,one-first,one,first,vehicle,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
c445c5afdd3c21d832dc15293ff661a2,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
c445c5afdd3c21d832dc15293ff661a2,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
c445c5afdd3c21d832dc15293ff661a2,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
c445c5afdd3c21d832dc15293ff661a2,D,one-second,one,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
c445c5afdd3c21d832dc15293ff661a2,D,three-second,three,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
c445c5afdd3c21d832dc15293ff661a2,D,one-first,one,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
c445c5afdd3c21d832dc15293ff661a2,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
c445c5afdd3c21d832dc15293ff661a2,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,three-second,three,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
0054b45decfc9331ec944e7ba2319839,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
81ae42c0b85ebaa55a680d26a19c359f,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
81ae42c0b85ebaa55a680d26a19c359f,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
81ae42c0b85ebaa55a680d26a19c359f,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
81ae42c0b85ebaa55a680d26a19c359f,B,three-second,three,second,fruit,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
81ae42c0b85ebaa55a680d26a19c359f,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
81ae42c0b85ebaa55a680d26a19c359f,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
81ae42c0b85ebaa55a680d26a19c359f,B,one-first,one,first,vegetable,0,1,0,0,0,Uncodeable,grey
81ae42c0b85ebaa55a680d26a19c359f,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
