participant,group,condition,number,target,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding,fill
4369fd65d3aeb48b375893f363b3e534,C,one-second,one,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,three-second,three,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,one-first,one,first,fruit,0.3333333333333333,0,1,0,0,broad subordinate,#CC4D06FF
4369fd65d3aeb48b375893f363b3e534,C,three-first,three,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,one-second,one,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,three-second,three,second,vegetable,0,0,0.5,0,0,Uncodeable,grey
4369fd65d3aeb48b375893f363b3e534,C,one-first,one,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
18d149d02b145bb3aeacea264dfd287a,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
18d149d02b145bb3aeacea264dfd287a,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
18d149d02b145bb3aeacea264dfd287a,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
18d149d02b145bb3aeacea264dfd287a,D,one-second,one,second,fruit,0.3333333333333333,0,1,0,0,broad subordinate,#CC4D06FF
18d149d02b145bb3aeacea264dfd287a,D,three-second,three,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
18d149d02b145bb3aeacea264dfd287a,D,one-first,one,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
18d149d02b145bb3aeacea264dfd287a,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
18d149d02b145bb3aeacea264dfd287a,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
39baef515eba918af5346ff7a5fe959b,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
39baef515eba918af5346ff7a5fe959b,A,three-second,three,second,beast,0,1,0,0,0,Uncodeable,grey
39baef515eba918af5346ff7a5fe959b,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
39baef515eba918af5346ff7a5fe959b,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
39baef515eba918af5346ff7a5fe959b,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
39baef515eba918af5346ff7a5fe959b,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
39baef515eba918af5346ff7a5fe959b,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
39baef515eba918af5346ff7a5fe959b,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,three-second,three,second,fruit,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
8a95dcdfb7bdb1e0e8b6a07360c78f63,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
