participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen,coding,fill
52cebdff8c1e2433c2310be25bd03be3,D,No Contrast,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
7a4a69c7de10e01f2553b14568bcfdd9,A,No Contrast,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
7a4a69c7de10e01f2553b14568bcfdd9,A,Contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
7a4a69c7de10e01f2553b14568bcfdd9,A,No Contrast,electronics,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
7a4a69c7de10e01f2553b14568bcfdd9,A,Contrast,fruit,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
7a4a69c7de10e01f2553b14568bcfdd9,A,No Contrast,furniture,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
7a4a69c7de10e01f2553b14568bcfdd9,A,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
7a4a69c7de10e01f2553b14568bcfdd9,A,No Contrast,vegetable,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
7a4a69c7de10e01f2553b14568bcfdd9,A,Contrast,vehicle,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
3d2a5ad1bdad0baf052031ad096a77a8,B,Contrast,animal,0.3333333333333333,1,0,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
3d2a5ad1bdad0baf052031ad096a77a8,B,No Contrast,beast,1,NA,1,0.2,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
3d2a5ad1bdad0baf052031ad096a77a8,B,Contrast,electronics,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
3d2a5ad1bdad0baf052031ad096a77a8,B,No Contrast,fruit,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
3d2a5ad1bdad0baf052031ad096a77a8,B,Contrast,furniture,0.3333333333333333,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
3d2a5ad1bdad0baf052031ad096a77a8,B,No Contrast,light,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
3d2a5ad1bdad0baf052031ad096a77a8,B,Contrast,vegetable,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
3d2a5ad1bdad0baf052031ad096a77a8,B,No Contrast,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
0eb0033fb8cfb99676422eda4fb283ce,C,No Contrast,animal,1,NA,1,0.2,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
